item_name,n_samples,rmse_pkr,mae_pkr,mape_pct
Milk,22,6.91,5.68,1.67
Yoghurt,22,8.11,6.52,1.75
Eggs,22,18.95,16.14,3.61
Banana,22,11.82,8.96,3.71
Mutton,22,141.45,119.29,3.76
Beef Meat,22,94.4,75.47,4.43
Apple,22,20.17,15.91,4.45
Pomegranate,22,32.08,24.03,4.78
Guava,22,13.19,10.55,5.19
Carrot,22,8.95,6.73,5.24
Orange,22,16.77,14.26,5.46
Ginger,22,41.68,31.7,5.49
Cabbage,22,5.77,5.0,5.5
Potato,22,7.93,6.32,5.51
Mango,22,19.26,14.37,5.72
Papaya,22,20.58,17.26,5.78
Grapes,22,38.31,30.21,6.1
Spinach,22,6.75,5.13,6.2
Cauliflower,22,9.12,6.87,6.35
Peach,22,40.3,30.04,6.96
Melon,22,10.57,9.04,7.17
Cucumber,22,11.77,9.67,7.31
Chicken (Processed Rate),22,72.91,57.67,7.45
Plum,22,43.96,34.43,8.39
Capsicum,22,28.03,22.57,8.72
Green Chili,22,39.54,30.77,9.85
Watermelon,22,12.39,10.09,9.88
Tomato,22,23.83,19.12,10.44
Garlic,22,136.99,87.22,10.75
Onion,22,27.12,18.75,11.83
Chicken (Farm Gate Rate),22,91.36,72.23,12.38
