date,item_name,category,unit,price,is_anomaly
2023-08-14,Apple,Fruits,kg,266.0,False
2023-08-21,Apple,Fruits,kg,244.0,False
2023-08-28,Apple,Fruits,kg,263.0,False
2023-09-04,Apple,Fruits,kg,279.0,False
2023-09-11,Apple,Fruits,kg,264.0,False
2023-09-18,Apple,Fruits,kg,259.0,False
2023-09-25,Apple,Fruits,kg,253.0,False
2023-10-02,Apple,Fruits,kg,282.0,False
2023-10-09,Apple,Fruits,kg,294.0,False
2023-10-16,Apple,Fruits,kg,282.0,False
2023-10-23,Apple,Fruits,kg,293.0,False
2023-10-30,Apple,Fruits,kg,284.0,False
2023-11-06,Apple,Fruits,kg,290.0,False
2023-11-13,Apple,Fruits,kg,293.0,False
2023-11-20,Apple,Fruits,kg,273.0,False
2023-11-27,Apple,Fruits,kg,272.0,False
2023-12-04,Apple,Fruits,kg,298.0,False
2023-12-11,Apple,Fruits,kg,289.0,False
2023-12-18,Apple,Fruits,kg,306.0,False
2023-12-25,Apple,Fruits,kg,306.0,False
2024-01-01,Apple,Fruits,kg,302.0,False
2024-01-08,Apple,Fruits,kg,287.0,False
2024-01-15,Apple,Fruits,kg,248.0,False
2024-01-22,Apple,Fruits,kg,289.0,False
2024-01-29,Apple,Fruits,kg,274.0,False
2024-02-05,Apple,Fruits,kg,302.0,False
2024-02-12,Apple,Fruits,kg,283.0,False
2024-02-19,Apple,Fruits,kg,280.0,False
2024-02-26,Apple,Fruits,kg,237.0,False
2024-03-04,Apple,Fruits,kg,280.0,False
2024-03-11,Apple,Fruits,kg,277.0,False
2024-03-18,Apple,Fruits,kg,221.0,False
2024-03-25,Apple,Fruits,kg,257.0,False
2024-04-01,Apple,Fruits,kg,244.0,False
2024-04-08,Apple,Fruits,kg,255.0,False
2024-04-15,Apple,Fruits,kg,240.0,False
2024-04-22,Apple,Fruits,kg,217.0,False
2024-04-29,Apple,Fruits,kg,252.0,False
2024-05-06,Apple,Fruits,kg,240.0,False
2024-05-13,Apple,Fruits,kg,244.0,False
2024-05-20,Apple,Fruits,kg,252.0,False
2024-05-27,Apple,Fruits,kg,243.0,False
2024-06-03,Apple,Fruits,kg,237.0,False
2024-06-10,Apple,Fruits,kg,222.0,False
2024-06-17,Apple,Fruits,kg,273.0,False
2024-06-24,Apple,Fruits,kg,265.0,False
2024-07-01,Apple,Fruits,kg,270.0,False
2024-07-08,Apple,Fruits,kg,260.0,False
